"DATE","SECT","total_pelicans","total_pelicans_injured","total_pelicans_dead"
2024-04-16,"C",30,2,0
2024-04-16,"D",17,2,0
2024-04-19,"A",14,0,0
2024-04-19,"B",18,3,0
2024-04-19,"C",12,0,0
2024-04-19,"D",12,0,0
2024-04-20,"A",19,1,0
2024-04-20,"B",25,0,0
2024-04-20,"C",10,1,0
2024-04-20,"D",19,2,0
2024-04-21,"A",2,0,0
2024-04-21,"B",1,0,0
2024-04-21,"C",1,0,0
2024-04-21,"D",10,0,0
2024-04-24,"A",43,1,0
2024-04-24,"B",21,1,0
2024-04-24,"C",25,1,0
2024-04-24,"D",15,2,0
2024-04-25,"A",29,1,0
2024-04-25,"B",14,0,0
2024-04-25,"C",8,1,0
2024-04-25,"D",11,0,0
2024-04-30,"A",22,1,0
2024-04-30,"B",5,0,0
2024-04-30,"C",26,0,0
2024-04-30,"D",16,0,0
